iter	Passed	Remaining
0	1	1168
1	1	911
2	2	832
3	3	815
4	4	811
5	4	776
6	5	761
7	6	847
8	7	823
9	8	797
10	8	784
11	9	778
12	10	761
13	11	785
14	12	809
15	13	821
16	14	833
17	15	864
18	16	862
19	17	844
20	17	832
21	18	828
22	19	826
23	19	812
24	20	807
25	21	798
26	22	797
27	22	792
28	24	818
29	25	816
30	26	813
31	26	809
32	27	805
33	28	799
34	28	790
35	29	797
36	30	790
37	31	787
38	32	790
39	32	785
40	33	775
41	33	774
42	34	776
43	35	770
44	36	768
45	36	762
46	37	754
47	37	751
48	38	751
49	39	748
50	40	744
51	40	743
52	41	742
53	42	741
54	42	738
55	43	735
56	44	734
57	45	733
58	45	732
59	46	729
60	47	726
61	47	725
62	48	724
63	49	723
64	52	762
65	53	758
66	54	760
67	55	755
68	55	754
69	56	753
70	57	750
71	58	747
72	58	746
73	59	741
74	60	741
75	60	740
76	62	743
77	62	744
78	63	744
79	66	768
80	67	765
81	68	764
82	68	761
83	69	759
84	70	758
85	71	755
86	71	754
87	72	752
88	73	748
89	73	746
90	74	742
91	75	742
92	76	741
93	76	736
94	77	734
95	77	733
96	78	732
97	79	730
98	80	730
99	80	726
100	81	725
101	82	723
102	82	722
103	83	721
104	84	718
105	85	719
106	86	720
107	87	721
108	88	721
109	89	720
110	90	720
111	91	721
112	91	718
113	92	716
114	93	715
115	93	713
116	94	712
117	105	791
118	106	790
119	107	786
120	108	787
121	109	784
122	109	783
123	110	781
124	111	780
125	112	778
126	112	776
127	113	774
128	125	844
129	126	844
130	127	845
131	128	844
132	129	841
133	129	839
134	130	838
135	131	838
136	132	837
137	134	837
138	134	833
139	135	833
140	136	832
141	137	830
142	138	831
143	140	833
144	141	832
145	142	830
146	142	829
147	143	825
148	143	822
149	144	818
150	144	814
151	145	811
152	145	807
153	146	805
154	147	805
155	148	802
156	149	800
157	150	799
158	150	797
159	151	795
160	152	795
161	153	792
162	153	788
163	154	785
164	154	782
165	155	779
166	155	776
167	156	773
168	157	772
169	157	769
170	158	767
171	158	763
172	159	760
173	159	758
174	160	754
175	160	751
176	161	748
177	161	745
178	161	743
179	162	740
180	162	737
181	163	734
182	163	731
183	164	728
184	164	725
185	165	722
186	165	719
187	166	717
188	166	714
189	166	711
190	167	709
191	167	706
192	168	703
193	168	701
194	169	699
195	169	696
196	170	695
197	171	693
198	171	691
199	172	689
200	172	687
201	173	685
202	174	683
203	174	681
204	175	679
205	175	678
206	176	675
207	176	672
208	177	671
209	177	669
210	178	667
211	179	665
212	179	664
213	180	662
214	181	661
215	181	660
216	182	658
217	183	656
218	183	654
219	183	651
220	184	650
221	184	647
222	185	646
223	186	644
224	186	642
225	187	641
226	188	640
227	189	640
228	192	646
229	197	662
230	200	668
231	202	670
232	203	670
233	205	671
234	205	669
235	207	670
236	211	679
237	211	678
238	212	676
239	212	674
240	213	672
241	214	670
242	214	668
243	215	666
244	215	664
245	216	663
246	217	661
247	217	660
248	218	659
249	219	657
250	219	656
251	220	654
252	221	653
253	221	651
254	222	649
255	222	647
256	223	645
257	223	643
258	224	641
259	224	639
260	225	637
261	225	635
262	226	633
263	226	631
264	226	629
265	227	627
266	227	625
267	228	623
268	228	621
269	229	619
270	229	617
271	229	615
272	230	613
273	230	611
274	231	609
275	231	607
276	231	605
277	232	603
278	232	601
279	233	599
280	233	598
281	234	596
282	234	594
283	235	592
284	235	590
285	236	589
286	236	587
287	236	585
288	237	584
289	237	582
290	238	580
291	238	579
292	239	577
293	239	575
294	240	573
295	240	572
296	241	570
297	241	569
298	242	568
299	242	566
300	243	565
301	244	563
302	244	562
303	245	561
304	245	559
305	246	558
306	246	556
307	247	555
308	247	554
309	248	552
310	248	550
311	249	549
312	249	547
313	249	546
314	250	544
315	250	543
316	251	541
317	251	540
318	252	538
319	252	536
320	253	535
321	253	533
322	253	532
323	254	530
324	254	529
325	255	527
326	255	526
327	256	524
328	256	523
329	257	521
330	257	520
331	257	518
332	258	516
333	258	515
334	258	513
335	259	512
336	259	510
337	260	509
338	260	508
339	260	506
340	261	504
341	261	503
342	262	502
343	262	500
344	263	499
345	263	498
346	263	496
347	264	495
348	264	494
349	265	492
350	265	491
351	266	490
352	266	488
353	267	487
354	267	486
355	267	484
356	268	483
357	268	482
358	269	480
359	269	479
360	270	478
361	270	476
362	271	475
363	272	476
364	273	475
365	273	473
366	274	472
367	274	471
368	275	470
369	275	469
370	275	467
371	276	466
372	276	465
373	277	464
374	277	462
375	278	461
376	278	460
377	279	459
378	279	457
379	279	456
380	280	455
381	280	454
382	281	453
383	281	451
384	282	450
385	282	449
386	282	448
387	283	446
388	283	445
389	284	444
390	284	443
391	284	442
392	285	440
393	285	439
394	286	438
395	286	437
396	287	436
397	287	435
398	288	434
399	288	432
400	289	431
401	289	430
402	289	429
403	290	428
404	290	427
405	291	426
406	291	424
407	292	423
408	292	422
409	293	421
410	293	420
411	293	419
412	294	418
413	294	417
414	295	416
415	295	415
416	296	413
417	296	412
418	297	411
419	297	410
420	297	409
421	298	408
422	298	407
423	299	406
424	299	405
425	300	404
426	300	403
427	301	402
428	301	401
429	301	400
430	302	399
431	302	398
432	303	397
433	303	396
434	304	395
435	304	394
436	305	392
437	305	391
438	305	390
439	306	389
440	306	388
441	307	387
442	307	386
443	308	385
444	308	384
445	309	383
446	309	382
447	309	381
448	310	380
449	310	379
450	311	378
451	311	377
452	311	376
453	312	375
454	312	374
455	313	373
456	313	372
457	314	371
458	314	370
459	314	369
460	315	368
461	317	369
462	318	369
463	318	368
464	319	367
465	319	366
466	320	365
467	320	364
468	321	363
469	321	362
470	322	361
471	322	361
472	323	360
473	323	359
474	324	358
475	325	358
476	325	357
477	326	356
478	327	355
479	327	355
480	328	354
481	328	353
482	329	352
483	329	351
484	329	350
485	330	349
486	330	348
487	330	347
488	331	346
489	331	345
490	332	344
491	332	343
492	333	342
493	333	341
