category1,category2,query,,,,
abc,aaa,I was there at the place yesterday afternoon! And honestly i felt that it is one particular cafe but when you enter the place its huge i mean really huge and you will notice that there places inside bakery n ol! Differently managed and uniquely as well!,,,,
abc,aaa,i loved their concept of junction written by flowers! I ordered one kadhai paneer with butter roti!! :) and it was quite good portion wise and taste wise as well! Amazing experience will go there to try their another dishes! Thankyou team junction!,,,,
abc,aaa,Junction located near Huaz Khas is one of the most beautiful places that I've ever been to. The place is spread across 20000 sqft and literally blows you away with its aura as soon as you enter the place!,,,,
abc,aaa,"We tried Chicken Seekh Kebab, Garlic Bread and Momos. Chicken seekh kebabs were delicious and were served with mint chutney. Garlic bread was not that good and needs improvement. We also ordered for veg momos and they came hot with our beloved spicy chutney. Overall the place is pretty amazing to have a fun filled weekend with your friends.",,,,
abc,bbb,"This new property in Delhi is actually a junction of multiple cuisine trains. Spread across a huge area with different sections, this one boasts of a distinct sushi and dimsums bar, The Big Baker with a lovely assortment of desserts, a pizzeria, an outdoor seating area under the shade of trees (full marks for that) and indoor fine dine area. The Junction redefines the word multi-cuisine for you by serving multiple cuisines from all the courses. Here are a few of them that I recently tasted",,,,
abc,bbb,"First thing you will say the moment you enter here will be ""Whoa!! What a beautiful place"".. It's huge and it's beautiful at every corner.. First time when i saw pictures of this place i kinda doubted those pictures considering i haven't seen such a big restaurant around Hauz Khas area but then this one does exist in real.. It's almost like a posh farmhouse..†",,,,
abc,bbb,"Coming to the food part, it's just okay! i mean it's not like something you would drool on and it's neither something which you will complain about.. It's good nice food which one can enjoy on any fine day!†",,,,
efg,bbb,"The day i visited this place it was highly packed so i understand that servicing has to be slow, i mean these guys sure put their best efforts but then it becomes really difficult at times to control everything and maintain the calm...†",,,,
efg,bbb,"Overall i had good experience, i would love to visit this place some day soon to try more of their dishes and probably a better service..",,,,
efg,bbb,"The junction cafe is perfectly located on Aurobindo Marg, few minutes away from Green apark Metro Station.",,,,
efg,ccc,"It has a big and beautiful entrance with lawns on both side and they have placed a flower wall in centre which is first thing you notice after entering. This plave have amazing atmosphere with use of vibrant colourful combination and use of grass, sand and stones on different section to give it a natural touch.",,,,
efg,ccc,This place have spacious outdoor sitting with these amazing ambience which one can hardly find in cafe these days.,,,,
efg,ddd,"And on the other hand as the name says 'the junction', this place is actually a junction for different outlet put together which include different indoor sitting sections for bar, bakery and pizzeria etc.",,,,
efg,ddd,"One expect more when the place is amazingly beautiful and have a fresh ambience. But talking about food and service, both departments need improvement be it food which was good but not upto my expectations and service was too slow.",,,,
hij,ddd,"I tried virgin mojito, blue lagoon, veg dimsum and garlic bread, i liked blue lagoon and dimsum. And in main course dal makhni and paneer with breads.",,,,
hij,ddd,Overall one can try mocktails and dimsum. And all in all food and service need improvement to match up the ambience of that place.,,,,
